playlistId,name,mood
P1,Deep Party Vibes Vol. 1,Party
P2,Pure Anime Openings Vol. 3,Anime
P3,Classic Coding Flow Vol. 6,Focus
P4,Classic Late Night Vibes Vol. 7,Late Night
P5,Classic Emotional Vibes Vol. 2,Emotional
P6,Top Coding Flow Vol. 8,Focus
P7,Classic Chill Vibes Vol. 3,Chill
P8,Ultimate Gym Beast Vol. 7,Workout
P9,Daily Late Night Vibes Vol. 7,Late Night
P10,Pure Gym Beast Vol. 5,Workout
P11,Pure Anime Openings Vol. 2,Anime
P12,Essential Party Vibes Vol. 2,Party
P13,Top Gaming Vibes Vol. 10,Gaming
P14,Deep Romantic Vibes Vol. 4,Romantic
P15,Classic Emotional Vibes Vol. 6,Emotional
P16,Ultimate Gym Beast Vol. 2,Workout
P17,Ultimate Gaming Vibes Vol. 5,Gaming
P18,Essential Chill Vibes Vol. 7,Chill
P19,Classic Coding Flow Vol. 6,Focus
P20,Morning Anime Openings Vol. 1,Anime
P21,Morning Emotional Vibes Vol. 10,Emotional
P22,Weekend Chill Vibes Vol. 3,Chill
P23,Weekend Romantic Vibes Vol. 8,Romantic
P24,Daily Travel Vibes Vol. 10,Travel
P25,Daily Gaming Vibes Vol. 5,Gaming
P26,Ultimate Travel Vibes Vol. 7,Travel
P27,Daily Chill Vibes Vol. 9,Chill
P28,Ultimate Travel Vibes Vol. 10,Travel
P29,Morning Gaming Vibes Vol. 9,Gaming
P30,Classic Travel Vibes Vol. 9,Travel
P31,Deep Gaming Vibes Vol. 1,Gaming
P32,Deep Party Vibes Vol. 6,Party
P33,Daily Late Night Vibes Vol. 2,Late Night
P34,Deep Gaming Vibes Vol. 6,Gaming
P35,Daily Emotional Vibes Vol. 9,Emotional
P36,Midnight Coding Flow Vol. 2,Focus
P37,Weekend Coding Flow Vol. 2,Focus
P38,Morning Party Vibes Vol. 2,Party
P39,Top Gym Beast Vol. 10,Workout
P40,Weekend Travel Vibes Vol. 1,Travel
P41,Deep Chill Vibes Vol. 10,Chill
P42,Morning Party Vibes Vol. 2,Party
P43,Daily Anime Openings Vol. 6,Anime
P44,Weekend Party Vibes Vol. 4,Party
P45,Classic Coding Flow Vol. 3,Focus
P46,Morning Romantic Vibes Vol. 9,Romantic
P47,Ultimate Emotional Vibes Vol. 1,Emotional
P48,Ultimate Party Vibes Vol. 8,Party
P49,Classic Gym Beast Vol. 7,Workout
P50,Morning Romantic Vibes Vol. 3,Romantic
P51,Essential Gym Beast Vol. 4,Workout
P52,Top Romantic Vibes Vol. 4,Romantic
P53,Pure Party Vibes Vol. 3,Party
P54,Weekend Travel Vibes Vol. 9,Travel
P55,Daily Emotional Vibes Vol. 6,Emotional
P56,Deep Travel Vibes Vol. 5,Travel
P57,Pure Emotional Vibes Vol. 7,Emotional
P58,Weekend Chill Vibes Vol. 1,Chill
P59,Pure Emotional Vibes Vol. 5,Emotional
P60,Weekend Late Night Vibes Vol. 3,Late Night
P61,Ultimate Emotional Vibes Vol. 5,Emotional
P62,Deep Romantic Vibes Vol. 10,Romantic
P63,Classic Travel Vibes Vol. 2,Travel
P64,Weekend Coding Flow Vol. 5,Focus
P65,Morning Chill Vibes Vol. 1,Chill
P66,Daily Anime Openings Vol. 4,Anime
P67,Midnight Travel Vibes Vol. 6,Travel
P68,Midnight Gaming Vibes Vol. 9,Gaming
P69,Weekend Anime Openings Vol. 6,Anime
P70,Ultimate Travel Vibes Vol. 7,Travel
P71,Daily Emotional Vibes Vol. 2,Emotional
P72,Essential Emotional Vibes Vol. 7,Emotional
P73,Morning Travel Vibes Vol. 9,Travel
P74,Deep Romantic Vibes Vol. 9,Romantic
P75,Classic Travel Vibes Vol. 3,Travel
P76,Classic Chill Vibes Vol. 4,Chill
P77,Ultimate Late Night Vibes Vol. 9,Late Night
P78,Weekend Coding Flow Vol. 3,Focus
P79,Morning Party Vibes Vol. 10,Party
P80,Classic Coding Flow Vol. 6,Focus
P81,Deep Travel Vibes Vol. 8,Travel
P82,Morning Party Vibes Vol. 5,Party
P83,Midnight Late Night Vibes Vol. 4,Late Night
P84,Weekend Romantic Vibes Vol. 7,Romantic
P85,Pure Romantic Vibes Vol. 1,Romantic
P86,Pure Emotional Vibes Vol. 1,Emotional
P87,Weekend Gym Beast Vol. 6,Workout
P88,Top Travel Vibes Vol. 10,Travel
P89,Ultimate Party Vibes Vol. 2,Party
P90,Midnight Anime Openings Vol. 2,Anime
P91,Top Emotional Vibes Vol. 6,Emotional
P92,Daily Party Vibes Vol. 4,Party
P93,Weekend Chill Vibes Vol. 6,Chill
P94,Essential Anime Openings Vol. 2,Anime
P95,Essential Party Vibes Vol. 7,Party
P96,Deep Romantic Vibes Vol. 1,Romantic
P97,Essential Gym Beast Vol. 10,Workout
P98,Morning Gaming Vibes Vol. 10,Gaming
P99,Daily Late Night Vibes Vol. 1,Late Night
P100,Classic Party Vibes Vol. 8,Party
